                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1839,                0.57765,                 1.0233,                0.91358,                0.93042,                0.95475,                0.56411,                 1.4316,                0.65621,                 1.0649,               0.006634,               0.006634,               0.006634
                     36,                 1.1646,                0.56594,                 1.0155,                 0.9042,                0.93989,                0.95053,                0.58539,                 1.3022,                0.63954,                 1.0414,               0.006535,               0.006535,               0.006535
                     37,                 1.1652,                0.56468,                 1.0176,                 0.9182,                0.92699,                0.95866,                0.57524,                 1.3848,                0.64197,                 1.0541,               0.006436,               0.006436,               0.006436
                     38,                  1.159,                0.55669,                 1.0054,                 0.9103,                0.93137,                0.95632,                0.54787,                 1.4922,                0.66168,                 1.0943,               0.006337,               0.006337,               0.006337
                     39,                 1.1453,                0.55413,                 1.0032,                0.91113,                0.92834,                0.95616,                0.56771,                 1.3956,                0.66064,                 1.0639,               0.006238,               0.006238,               0.006238
                     40,                 1.1201,                0.54084,                0.99935,                0.89806,                0.93967,                0.95772,                0.56211,                 1.4211,                0.65775,                 1.0582,               0.006139,               0.006139,               0.006139
                     41,                 1.1339,                0.54678,                 1.0003,                0.91334,                0.93204,                 0.9574,                0.58146,                 1.3698,                0.63398,                 1.0522,                0.00604,                0.00604,                0.00604
                     42,                 1.1089,                0.53887,                0.99416,                0.89887,                 0.9419,                0.95619,                0.58675,                 1.3334,                0.62983,                 1.0422,               0.005941,               0.005941,               0.005941
                     43,                 1.1218,                0.54405,                0.99755,                0.89563,                0.94337,                0.95745,                0.55266,                 1.4401,                0.66193,                 1.0745,               0.005842,               0.005842,               0.005842
                     44,                 1.0974,                0.53345,                0.98951,                0.91116,                0.93849,                0.95659,                0.57255,                 1.3554,                0.64486,                 1.0493,               0.005743,               0.005743,               0.005743
                     45,                 1.1048,                0.53392,                0.99221,                0.89273,                0.94158,                0.95503,                0.52276,                  1.547,                0.68201,                 1.1084,               0.005644,               0.005644,               0.005644
                     46,                 1.0912,                0.52426,                 0.9887,                0.90546,                0.94415,                0.96258,                0.58311,                 1.3753,                0.61449,                 1.0579,               0.005545,               0.005545,               0.005545
                     47,                 1.0836,                0.52295,                0.98528,                0.90613,                0.93462,                  0.959,                0.58651,                 1.3543,                0.61987,                 1.0531,               0.005446,               0.005446,               0.005446
                     48,                 1.0799,                0.52335,                0.98328,                0.90599,                0.94016,                0.95973,                0.56632,                 1.4114,                0.64229,                 1.0654,               0.005347,               0.005347,               0.005347
                     49,                 1.0719,                0.51942,                0.97857,                0.90174,                0.94118,                0.95474,                0.57124,                 1.3527,                0.64125,                 1.0561,               0.005248,               0.005248,               0.005248
                     50,                   1.06,                0.51183,                0.97331,                0.90446,                0.93518,                0.95283,                0.57403,                 1.3788,                0.63387,                 1.0655,               0.005149,               0.005149,               0.005149
                     51,                 1.0548,                0.50896,                0.97277,                0.90802,                0.93797,                0.94798,                0.56298,                 1.4111,                0.64786,                 1.0803,                0.00505,                0.00505,                0.00505
